s_hat,z,rhs,violation
"[[5], [3, 4, 15, 31, 33, 35, 56, 58, 70, 71], [2, 10, 13, 17, 19, 20, 22, 24, 27, 32, 37, 43, 54, 64, 65, 69, 72, 74], [2, 9, 10, 13, 14, 17, 19, 20, 22, 23, 24, 26, 27, 32, 37, 40, 41, 42, 43, 45, 54, 57, 60, 62, 64, 65, 68, 69, 72, 74, 75], [2, 5, 8, 10, 11, 13, 14, 17, 19, 20, 22, 23, 24, 26, 27, 32, 37, 38, 39, 40, 41, 43, 45, 47, 48, 54, 55, 60, 62, 64, 65, 67, 68, 69, 72, 74, 75, 76], [2, 3, 4, 5, 8, 10, 11, 13, 14, 15, 17, 19, 20, 22, 23, 24, 26, 27, 31, 32, 33, 37, 38, 39, 40, 41, 43, 45, 47, 48, 50, 51, 54, 55, 56, 60, 62, 64, 65, 67, 68, 69, 71, 72, 74, 75, 76], [2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 43, 44, 45, 47, 48, 50, 51, 52, 54, 55, 56, 58, 59, 60, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.1321108361562082, 5.089130414533345, 6.742380868105434, 7.9540569995001, 9.423606863454348, 11.332062399932138, 12.611555972300257]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.8678891638437918, 0.9108695854666546, 1.2576191318945664, 2.0459430004999, 2.5763931365456525, 2.6679376000678623, 3.3884440276997427]"
"[[5], [2, 7, 10, 59], [2, 7, 10, 59, 65], [2, 7, 10, 22, 36, 45, 59, 61, 76], [2, 3, 7, 10, 22, 31, 32, 39, 44, 50, 56, 59, 65], [2, 7, 10, 13, 19, 27, 34, 37, 42, 45, 57, 59, 61, 68, 69, 74, 76], [3, 8, 10, 11, 20, 22, 30, 31, 32, 36, 38, 39, 43, 44, 46, 49, 50, 54, 56, 65, 71, 72, 75], [2, 5, 7, 10, 13, 15, 19, 25, 27, 34, 37, 41, 42, 45, 47, 51, 57, 59, 61, 62, 68, 69, 73, 74, 76], [2, 3, 7, 8, 9, 10, 20, 22, 28, 30, 31, 32, 36, 38, 39, 40, 43, 44, 46, 49, 50, 54, 56, 59, 64, 65, 71, 72, 75], [2, 5, 7, 10, 13, 15, 16, 18, 19, 22, 25, 27, 29, 34, 36, 37, 41, 42, 45, 47, 49, 51, 57, 58, 59, 61, 63, 68, 69, 70, 73, 74, 76], [2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 17, 20, 21, 22, 24, 26, 30, 31, 32, 36, 38, 39, 40, 44, 46, 48, 49, 50, 54, 56, 59, 60, 61, 64, 65, 67, 71, 76], [2, 3, 6, 7, 8, 9, 10, 11, 14, 17, 19, 20, 21, 22, 24, 26, 28, 30, 31, 32, 36, 38, 39, 40, 43, 44, 45, 46, 48, 49, 50, 54, 56, 59, 60, 61, 65, 67, 70, 71, 72, 75, 76], [2, 3, 5, 7, 8, 10, 12, 13, 15, 16, 18, 19, 22, 25, 27, 29, 32, 33, 34, 36, 37, 38, 41, 42, 45, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 68, 69, 70, 72, 73, 74, 76], [2, 3, 5, 7, 8, 10, 12, 13, 15, 16, 18, 19, 22, 24, 25, 27, 28, 29, 32, 33, 34, 36, 37, 38, 41, 42, 43, 45, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 68, 69, 70, 72, 73, 74, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 34, 36, 38, 39, 40, 42, 43, 44, 45, 46, 48, 49, 50, 54, 56, 57, 58, 59, 60, 61, 64, 65, 67, 69, 70, 71, 72, 73, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 13, 18, 19, 20, 22, 24, 27, 28, 30, 31, 32, 34, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 49, 50, 52, 54, 55, 56, 57, 59, 61, 62, 64, 65, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 36, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 55, 56, 57, 59, 60, 61, 64, 65, 67, 68, 70, 71, 72, 73, 74, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.999999999999999, 5.999999999999999, 8.000000000000002, 10.0, 12.0, 14.00000000000001, 16.0, 18.0, 20.0, 21.999999999999993, 23.999709311450427, 26.000000000000007, 28.000000000000014, 29.999534028119733, 31.996003498622162, 33.99712212120183, 35.9943691783946, 38.0]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]","[0.0, 8.881784197001252e-16, 8.881784197001252e-16, -1.7763568394002505e-15, 0.0, 0.0, -1.0658141036401503e-14, 0.0, 0.0, 0.0, 7.105427357601002e-15, 0.00029068854957259305, -7.105427357601002e-15, -1.4210854715202004e-14, 0.0004659718802670909, 0.003996501377837802, 0.0028778787981664777, 0.005630821605400627, 0.0]"
"[[5], [30, 43, 47, 63], [10, 11, 15, 44, 68, 69], [6, 14, 21, 22, 26, 32, 35, 39, 42, 52, 72, 73], [8, 13, 20, 28, 30, 34, 40, 43, 47, 56, 63, 68, 69, 71, 76], [6, 7, 10, 11, 14, 15, 18, 23, 29, 44, 46, 49, 55, 57, 66, 70], [2, 8, 9, 13, 20, 25, 28, 30, 31, 34, 40, 43, 45, 47, 48, 51, 56, 62, 63, 65, 68, 69, 71, 74, 76], [2, 3, 8, 9, 13, 17, 20, 25, 28, 30, 31, 34, 40, 43, 47, 48, 51, 53, 54, 56, 60, 63, 65, 67, 68, 69, 71, 74, 76], [2, 3, 8, 9, 10, 11, 13, 15, 20, 23, 25, 28, 30, 31, 34, 40, 43, 44, 47, 48, 51, 56, 63, 65, 67, 68, 69, 71, 74, 75, 76], [3, 7, 10, 11, 13, 15, 18, 20, 23, 24, 28, 29, 30, 41, 43, 44, 46, 47, 49, 50, 55, 56, 57, 63, 66, 67, 68, 69, 70, 75, 76], [2, 3, 8, 9, 10, 11, 12, 13, 15, 18, 20, 23, 24, 25, 28, 30, 31, 34, 38, 40, 41, 43, 44, 47, 48, 49, 50, 53, 54, 56, 63, 66, 67, 68, 69, 70, 71, 74, 75, 76], [2, 3, 8, 9, 10, 11, 12, 13, 15, 18, 20, 23, 24, 25, 28, 30, 31, 34, 38, 40, 41, 43, 44, 47, 48, 49, 50, 53, 54, 55, 56, 57, 63, 66, 67, 68, 69, 70, 71, 74, 75, 76], [2, 3, 7, 8, 9, 10, 11, 13, 15, 18, 20, 23, 24, 25, 28, 30, 31, 34, 40, 41, 43, 44, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 60, 63, 65, 66, 67, 68, 69, 70, 71, 74, 75, 76], [2, 3, 7, 8, 9, 10, 11, 12, 13, 15, 18, 20, 23, 24, 25, 27, 28, 29, 30, 31, 34, 38, 40, 41, 43, 44, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 63, 65, 66, 67, 68, 69, 70, 71, 74, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 23, 24, 25, 28, 29, 30, 31, 33, 34, 38, 40, 41, 43, 44, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 59, 60, 63, 65, 66, 67, 68, 69, 70, 71, 74, 75, 76], [2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 23, 24, 25, 28, 30, 31, 33, 34, 36, 38, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 59, 60, 62, 63, 65, 66, 67, 68, 69, 70, 71, 74, 75, 76], [2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 63, 64, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0000000000000004, 3.8428513459097666, 5.93677545093516, 7.9250997022821625, 9.874207512970317, 11.887104442641915, 13.845936920326803, 15.898724763748557, 17.876206897632635, 19.871584591922634, 21.853984425100517, 23.85398442510051, 25.842961403531653, 27.82658655869015, 29.82800119039248, 31.86084522645965, 33.84897162086822, 35.82826471944053, 37.72630971540911, 39.53084308804095, 41.999999999999986]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42]","[-4.440892098500626e-16, 0.15714865409023338, 0.06322454906483976, 0.07490029771783746, 0.12579248702968293, 0.11289555735808499, 0.15406307967319677, 0.10127523625144264, 0.12379310236736529, 0.12841540807736607, 0.14601557489948291, 0.14601557489949002, 0.15703859646834673, 0.17341344130985092, 0.17199880960751912, 0.13915477354035133, 0.15102837913178035, 0.17173528055946718, 0.2736902845908915, 0.46915691195904685, 1.4210854715202004e-14]"
"[[5], [4, 5, 10, 25, 28, 29, 32, 34, 35, 40, 50, 54, 69, 71], [2, 7, 8, 9, 11, 12, 15, 16, 22, 23, 37, 42, 43, 44, 46, 48, 49, 51, 52, 53, 55, 62, 63, 68, 70, 72, 73, 74, 76], [2, 6, 7, 8, 9, 11, 12, 13, 15, 16, 19, 22, 23, 27, 30, 37, 38, 42, 43, 44, 45, 46, 48, 49, 51, 52, 53, 55, 57, 58, 60, 61, 62, 63, 68, 70, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 27, 28, 29, 30, 32, 33, 34, 35, 38, 40, 41, 45, 46, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 65, 67, 69, 70, 71, 72, 75, 76], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 67, 68, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.9883945841392667, 5.897485493230173, 7.8974854932301755, 9.806576402321081, 11.806576402321086]","[2, 4, 6, 8, 10, 12]","[0.0, 0.01160541586073327, 0.10251450676982721, 0.10251450676982454, 0.19342359767891892, 0.1934235976789136]"
"[[35, 54, 63], [5, 9, 14, 26, 27, 29, 36, 37, 43, 50, 52, 53, 58, 60, 66, 69, 73], [5, 6, 8, 9, 14, 15, 16, 20, 22, 24, 26, 27, 28, 29, 30, 31, 32, 34, 36, 37, 43, 45, 46, 50, 52, 53, 56, 57, 58, 59, 60, 66, 69, 73, 74], [2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 41, 43, 44, 45, 46, 47, 48, 50, 52, 53, 54, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 69, 72, 73, 74], [2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[1.8319327731092425, 3.109243697478991, 5.092436974789916, 7.134453781512604, 9.764705882352933]","[2, 4, 6, 8, 10]","[0.16806722689075748, 0.8907563025210088, 0.9075630252100844, 0.8655462184873963, 0.23529411764706687]"
"[[5], [2, 5, 7, 8, 9, 10, 15, 21, 24, 32, 43, 47, 53, 56, 57, 68, 69], [2, 5, 7, 8, 9, 10, 15, 16, 20, 21, 24, 32, 35, 38, 43, 44, 47, 48, 53, 56, 57, 68, 69, 71, 76], [2, 4, 5, 6, 7, 9, 12, 13, 15, 18, 21, 22, 25, 28, 29, 30, 33, 34, 36, 39, 45, 46, 47, 49, 50, 53, 54, 57, 59, 61, 62, 65, 66, 67, 68, 70, 72, 74, 75], [2, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 35, 37, 38, 40, 41, 43, 44, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 64, 65, 67, 68, 69, 71, 73, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.000000000000001, 4.000000000000002, 5.999999999999999, 8.0, 9.95391705069124, 11.958525345622117]","[2, 4, 6, 8, 10, 12]","[-8.881784197001252e-16, -1.7763568394002505e-15, 8.881784197001252e-16, 0.0, 0.04608294930875978, 0.04147465437788256]"
"[[5], [2, 5, 7, 9, 10, 15, 16, 21, 24, 44, 47, 48, 53, 68, 71, 76], [2, 5, 7, 8, 9, 10, 15, 16, 20, 21, 24, 31, 32, 38, 43, 44, 47, 48, 51, 53, 56, 68, 69, 71, 76], [2, 3, 4, 6, 7, 9, 12, 13, 15, 18, 21, 22, 23, 25, 28, 29, 33, 34, 36, 39, 41, 42, 45, 46, 47, 49, 50, 53, 54, 57, 61, 65, 66, 67, 68, 72, 75], [2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 21, 22, 23, 24, 25, 28, 29, 32, 33, 34, 36, 37, 38, 39, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 56, 57, 61, 65, 66, 67, 68, 69, 71, 72, 73, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76]]","[2.0, 4.0, 5.776960784313749, 7.710784313725506, 9.622549019607845, 11.509803921568631]","[2, 4, 6, 8, 10, 12]","[0.0, 0.0, 0.22303921568625107, 0.2892156862744937, 0.37745098039215463, 0.49019607843136903]"
"[[5], [9, 10, 12, 13, 18, 22, 61, 72], [4, 6, 11, 19, 23, 25, 28, 30, 31, 33, 41, 50, 51, 56, 66, 69, 71, 74, 75], [8, 11, 15, 20, 23, 27, 30, 32, 33, 37, 38, 41, 46, 47, 48, 57, 59, 64, 65, 68, 69, 71], [4, 8, 11, 15, 17, 19, 20, 23, 27, 30, 31, 32, 33, 37, 38, 41, 46, 47, 48, 51, 56, 57, 59, 64, 65, 68, 69, 71, 75], [4, 8, 11, 14, 15, 17, 19, 20, 23, 24, 27, 28, 30, 31, 32, 33, 37, 38, 41, 42, 44, 46, 47, 48, 49, 51, 56, 57, 58, 59, 64, 65, 68, 69, 70, 71, 75], [3, 4, 8, 11, 15, 16, 17, 19, 20, 23, 26, 27, 30, 31, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 46, 47, 48, 49, 51, 52, 54, 55, 56, 57, 58, 59, 60, 62, 64, 65, 68, 69, 71, 73, 75, 76], [2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 18, 19, 20, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 45, 46, 47, 48, 49, 50, 51, 53, 56, 57, 58, 59, 61, 63, 64, 65, 66, 68, 69, 70, 71, 72, 74, 75], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 50, 51, 52, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 71, 72, 73, 74, 75], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 71, 72, 73, 74, 75, 76]]","[2.0, 4.0, 5.969688146482258, 7.937660527671037, 9.91199561982102, 11.917433756462199, 13.871463999346737, 15.936155573130339, 17.89755638455655, 19.915953526639413]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]","[0.0, 0.0, 0.030311853517742016, 0.0623394723289632, 0.0880043801789796, 0.0825662435378014, 0.12853600065326276, 0.06384442686966096, 0.10244361544344827, 0.08404647336058702]"
"[[5], [20, 27, 37, 46, 47, 65, 68], [15, 16, 17, 34, 37, 44, 46, 47, 55, 57, 65, 68], [5, 6, 10, 11, 12, 13, 18, 19, 22, 23, 25, 30, 31, 33, 41, 45, 50, 51, 61, 63, 66, 69, 71, 72, 75], [5, 6, 9, 10, 11, 12, 13, 18, 19, 22, 23, 25, 27, 30, 31, 33, 37, 41, 45, 46, 48, 50, 51, 57, 61, 63, 65, 66, 68, 69, 71, 72, 75], [5, 6, 7, 9, 10, 11, 12, 13, 18, 19, 20, 22, 23, 25, 27, 29, 30, 31, 33, 37, 38, 41, 45, 46, 47, 48, 49, 50, 51, 61, 63, 64, 65, 66, 68, 69, 71, 72, 74, 75], [4, 8, 11, 14, 15, 17, 19, 20, 23, 24, 26, 27, 28, 30, 31, 32, 33, 36, 37, 38, 41, 42, 44, 46, 47, 48, 49, 50, 51, 52, 54, 56, 57, 58, 59, 60, 64, 65, 66, 68, 69, 70, 71, 74, 75, 76], [3, 4, 7, 8, 11, 14, 15, 16, 17, 19, 20, 23, 24, 26, 27, 28, 30, 31, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 62, 64, 65, 66, 68, 69, 70, 71, 73, 74, 75, 76], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53, 56, 57, 58, 59, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 76]]","[2.0, 4.0, 6.0, 8.000000000000007, 10.000000000000005, 11.999999999999996, 13.999999999999995, 15.999999999999995, 18.0, 20.0]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]","[0.0, 0.0, 0.0, -7.105427357601002e-15, -5.329070518200751e-15, 3.552713678800501e-15, 5.329070518200751e-15, 5.329070518200751e-15, 0.0, 0.0]"
"[[5], [9, 20, 21, 22, 32, 40, 41, 47, 57, 60, 63, 75], [6, 9, 20, 21, 22, 23, 24, 30, 32, 40, 41, 45, 47, 48, 55, 57, 60, 63, 65, 73, 74, 75, 76], [2, 7, 9, 14, 17, 18, 20, 21, 22, 23, 27, 28, 29, 31, 32, 33, 34, 36, 37, 39, 40, 41, 46, 47, 49, 50, 54, 56, 57, 58, 60, 62, 63, 65, 66, 69, 71, 75], [2, 6, 8, 9, 10, 14, 17, 18, 20, 21, 22, 23, 24, 27, 28, 30, 31, 32, 33, 37, 39, 40, 41, 42, 45, 46, 47, 48, 50, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76], [2, 4, 6, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 33, 35, 37, 38, 40, 41, 42, 43, 44, 45, 47, 48, 50, 51, 52, 55, 56, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.8657718120805398, 5.664429530201341, 7.46308724832215, 9.208053691275165, 10.885906040268454, 13.999999999999996]","[2, 4, 6, 8, 10, 12, 14]","[0.0, 0.13422818791946023, 0.33557046979865923, 0.5369127516778498, 0.7919463087248353, 1.1140939597315462, 3.552713678800501e-15]"
"[[5], [8, 12, 17, 18, 37, 39, 50, 51, 55, 59], [4, 15, 16, 24, 27, 28, 31, 34, 41, 44, 45, 46, 49, 57, 63, 66, 70, 71, 72, 74], [4, 8, 10, 12, 15, 16, 17, 18, 24, 27, 28, 31, 34, 37, 39, 41, 45, 49, 50, 51, 55, 58, 59, 63, 64, 65, 66, 70, 71], [2, 4, 8, 9, 10, 12, 15, 16, 17, 18, 21, 27, 28, 29, 30, 31, 33, 34, 37, 39, 40, 41, 45, 47, 49, 50, 51, 52, 55, 58, 59, 64, 65, 66, 67, 70, 71, 76], [2, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 21, 24, 26, 27, 28, 29, 30, 31, 34, 37, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50, 51, 52, 54, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 70, 71, 74], [2, 3, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 34, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 61, 63, 64, 65, 66, 67, 68, 70, 71, 72, 74, 75], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 4.0, 6.0, 8.0, 10.000000000000004, 12.000000000000005, 14.000000000000014, 16.000000000000004]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.0, 0.0, 0.0, -3.552713678800501e-15, -5.329070518200751e-15, -1.4210854715202004e-14, -3.552713678800501e-15]"
